piece,model,MSE,RMSE,MAE,MAPE%,WAPE%,R2
4821C3010,RandomForest,4627.212334572768,68.02361600630158,44.652000812878335,20.265593221610743,26.169671265476673,0.7702246663741483
4821C3010,SVM,19363.678297380542,139.15343437148988,91.2142452927902,103.56738957743077,53.45889927853828,0.038450081972501104
4821C3010,DecisionTree,1630.8768493112273,40.38411629974373,30.62501170632953,19.50113615689879,17.948725124650384,0.9190148959983345
4821C3020,RandomForest,907.2727563566692,30.120968715442558,26.103793070549283,17.954935313909072,8.786198427774986,0.9898937119332691
4821C3020,SVM,103666.06548125324,321.9721501640371,185.2004168612503,90.91227051741058,62.336060014413405,-0.15475650862182677
4821C3020,DecisionTree,12762.002795184666,112.96903467404094,95.80000007899248,42.527351825802725,32.24503840495604,0.8578415634626892
4821C3050,RandomForest,19939.663429468903,141.20787311431647,88.98837592203833,66.52120213963329,55.96752680840156,0.2467016693128422
4821C3050,SVM,25907.450942399195,160.95791668134623,114.14586428357737,191.897385944502,71.78984505747289,0.021245287499390808
4821C3050,DecisionTree,35315.085881139916,187.92308501389581,104.8999828176344,55.97677684224329,65.97482580972512,-0.3341647082678407
4848A3015,RandomForest,64183.78411218463,253.34518766336302,211.59573014030767,74.99345770827418,28.150205663562737,0.9236155386038123
4848A3015,SVM,1113146.4420204957,1055.057553890069,599.3062847972614,70.69081740123814,79.73031951694787,-0.3247441328825713
4848A3015,DecisionTree,93976.88246362425,306.556491472003,212.08327367662548,45.28105450846789,28.215067325979966,0.8881590786524842
4848A5010,RandomForest,30223.779610862017,173.8498766489698,119.6693227065453,61.35619624885743,33.76250414767146,0.7727577416366117
4848A5010,SVM,154207.73482398994,392.6929268830672,246.11697570398186,122.4671892000671,69.43738984296562,-0.1594351986973921
4848A5010,DecisionTree,968478.816788621,984.1132134000748,371.7776625783241,62.65390295885449,104.89024748299782,-6.281660875566168
4848A5020,RandomForest,11365.53647399987,106.60927011287465,76.92358286868593,54.44372562722152,28.84634580608546,0.8461228137347869
4848A5020,SVM,77336.99722560616,278.0953024155679,187.6918354988526,144.7452408461674,70.38444375402115,-0.04706007978598836
4848A5020,DecisionTree,9289.33708685568,96.38120712491455,78.00000619722151,36.49332685198281,29.250004585496203,0.874232328894952
4848A5050,RandomForest,10503.253717544707,102.48538294578748,73.18650679553903,20.13101200793665,16.800344618421796,0.9348292937707198
4848A5050,SVM,220154.40684824664,469.2061453649628,304.03752767526254,96.63931949210983,69.79340134578894,-0.3660165277948271
4848A5050,DecisionTree,4225.007982418412,65.00006140318955,55.000039861803984,16.241553899442142,12.625546212865087,0.9737846231802805
4851D3017,RandomForest,81856.89855802117,286.10644620144643,184.36436168123805,19.738635906711846,17.78174151857724,0.9356460482657856
4851D3017,SVM,1963197.820485232,1401.1416132872623,864.2832934055773,67.57367280541119,83.35918060310573,-0.5434195530224064
4851D3017,DecisionTree,75062.1628160844,273.9747485008142,138.18193959727654,9.251239168796022,13.327497299628455,0.9409879083128456
4851D5010,RandomForest,414906.3557323159,644.1322501880463,418.5171578848558,34.08558238258037,41.43734553482293,0.657597773409208
4851D5010,SVM,1854558.607073851,1361.8217971063068,838.0727298622128,67.87780751008083,82.97750435399641,-0.5304778720114107
4851D5010,DecisionTree,32424.984011334505,180.0693866578506,92.27271437080968,11.57863371482691,9.135913012845245,0.973241222822302
4851D5021,RandomForest,1302.1320248513152,36.08506650750855,27.704770517508294,16.203196119872935,11.573793960888754,0.9715613980305826
4851D5021,SVM,49964.394659059624,223.5271676084579,149.74323916106985,69.70263122960854,62.555919602043375,-0.09122385843641823
4851D5021,DecisionTree,7666.615014848823,87.55920862392958,70.62495238237503,37.14771740041976,29.503895253513292,0.8325609011229564
4851S3020,RandomForest,38676.67939313265,196.6638741435057,132.16949586286145,26.426388366442747,13.424418284897543,0.9663779150447253
4851S3020,SVM,1722890.4453121258,1312.589214229694,802.7173064399245,68.93978978622324,81.5317696101147,-0.49772860105463934
4851S3020,DecisionTree,5793.454122203231,76.11474313300434,52.27294144370737,5.473171253895571,5.309347866851214,0.9949636832908725
4859C3010,RandomForest,5359.461993599307,73.20834647497037,59.71155151436488,141.12978223558946,59.055379280032305,0.5000963439559982
4859C3010,SVM,18194.727963444813,134.8878347496349,126.29354790899048,520.8828060565082,124.90570389202011,-0.6971127028262898
4859C3010,DecisionTree,1341.6666667905308,36.62876829475066,32.77777881415501,124.86518391383692,32.41758270778238,0.8748560820616018
4859C3020,RandomForest,40702.54695870333,201.74872232235654,139.46024976598392,121.3901522558564,108.8470247374368,-1.9296402233700918
4859C3020,SVM,13860.48010968904,117.7305402590553,101.66983290770764,260.6527232522065,79.35206509472039,0.002366606547618444
4859C3020,DecisionTree,586293.3266840284,765.69793436056,631.8749896558129,786.9761038347569,493.17072603443467,-41.1995339576585
